scraped_at,category,product_id,name,brand,variant,price_ex_vat_gbp,unit_price_raw,region,promo_label,status,product_url,image_url,rating_stars,review_count,price_inc_vat_gbp,price_before_discount_gbp,style_body,style_richness,style_smoke,style_sweetness,character_notes,fact_bottler,fact_country,fact_region,fact_cask_type,fact_colouring
2026-01-15 09:15:55,Single Malt,86493,Arran 10 Year Old Arran Barley,Arran,70cl / 50%,48.12,(£82.50 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/86493/arran-10-year-old-arran-barley,https://img.thewhiskyexchange.com/380/arrob.10yov8.jpg?v=202407241,5,2,57.75,,3,4,0,3,Vanilla|Custard|Shortbread|Mixed Herb|Aniseed,Distillery Bottling,Scotland,Island,,No
2026-01-15 09:15:55,Single Malt,48763,Balblair 18 Year Old,Balblair,70cl / 46%,118.33,(£202.86 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/48763/balblair-18-year-old,https://img.thewhiskyexchange.com/380/blbob.18yo.jpg?v=202407241,5,2,142,,3,4,0,3,Cinnamon|Apricot|Pear|Nutmeg|Vanilla|Oak,Distillery Bottling,Scotland,Highland,First-fill  Sherry Butt Finish,No
2026-01-15 09:15:55,Single Malt,48761,Balblair 12 Year Old,Balblair,70cl / 46%,44.79,(£76.79 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/48761/balblair-12-year-old,https://img.thewhiskyexchange.com/380/blbob.12yo.jpg?v=202407241,5,8,53.75,,2,3,0,3,Cinnamon|Orange|Vanilla|Leather|Honey,Distillery Bottling,Scotland,Highland,,No
2026-01-15 09:15:55,Single Malt,12827,Bunnahabhain 12 Year Old,Bunnahabhain,70cl / 46.3%,38.12,(£65.36 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/12827/bunnahabhain-12-year-old,https://img.thewhiskyexchange.com/380/bunob.12yov3.jpg?v=202407241,4.5,166,45.75,,3,3,1,3,Vanilla|Smoke|Cream|Oak|Cherry|Dried Fruit,Distillery Bottling,Scotland,Islay,,No
2026-01-15 09:15:55,Single Malt,81812,Glendronach 12 Year Old / Sherry Cask Matured,Glendronach,70cl / 43%,44.38,(£76.07 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/81812/glendronach-12-year-old-sherry-cask-matured,https://img.thewhiskyexchange.com/380/grnob.12yov38.jpg?v=202407241,,,53.25,,4,3,0,4,Stewed Fruit|Leaves|Ginger|Sultana|Toffee|Coffee,Distillery Bottling,Scotland,Highland,Sherry,No
2026-01-15 09:15:55,Single Malt,4837,Talisker 10 Year Old,Talisker,70cl / 45.8%,40.21,(£68.93 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/4837/talisker-10-year-old,https://img.thewhiskyexchange.com/380/talob.10yo.jpg?v=202407241,4.5,168,48.25,,4,4,3,3,White Pepper|Brine|Smoke|Malt|Heather,Distillery Bottling,Scotland,Island,,Yes
2026-01-15 09:15:55,Single Malt,51252,Arran 18 Year Old,Arran,70cl / 46%,96.67,(£165.71 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/51252/arran-18-year-old,https://img.thewhiskyexchange.com/380/arrob.18yov2.jpg?v=202407241,5,4,116,,3,2,0,3,Apple|Melon|Lemon|Brioche|Dark Chocolate,Distillery Bottling,Scotland,Island,,No
2026-01-15 09:15:55,Single Malt,29813,Dalwhinnie Winter's Gold,Dalwhinnie,70cl / 43%,43.12,(£63.93 per litre),Speyside,Special Offer: £7 Off!,In Stock,https://www.thewhiskyexchange.com/p/29813/dalwhinnie-winters-gold,https://img.thewhiskyexchange.com/380/dalob.non1.jpg?v=202407241,4.5,56,44.75,51.75,2,3,1,3,Heather|Nutmeg|Honey|Smoke|Malt,Distillery Bottling,Scotland,Highland,,Yes
2026-01-15 09:15:55,Single Malt,5861,Bowmore 15 Year Old,Bowmore,70cl / 43%,62.08,(£85 per litre),Islay,Special Offer: £15 Off!,In Stock,https://www.thewhiskyexchange.com/p/5861/bowmore-15-year-old,https://img.thewhiskyexchange.com/380/bowob.15yov3.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,55314,Macallan 15 Year Old Double Cask,Macallan,70cl / 43%,122.5,(£210 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/55314/macallan-15-year-old-double-cask,https://img.thewhiskyexchange.com/380/macob.15yov3.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,57908,Lagavulin Distillers Edition,Lagavulin,70cl / 43%,89.17,(£124.21 per litre),Islay,Special Offer: £20.05 Off!,In Stock,https://www.thewhiskyexchange.com/p/57908/lagavulin-distillers-edition,https://img.thewhiskyexchange.com/380/lgvob.non7.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,2093,Glenfiddich 18 Year Old,Glenfiddich,70cl / 40%,81.04,(£117.50 per litre),Speyside,Special Offer: £15 Off!,In Stock,https://www.thewhiskyexchange.com/p/2093/glenfiddich-18-year-old,https://img.thewhiskyexchange.com/380/gfdob.18yo.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,73225,Blair Athol 12 Year Old / Flora & Fauna,Blair Athol,70cl / 43%,49.79,(£85.36 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/73225/blair-athol-12-year-old-flora-fauna,https://img.thewhiskyexchange.com/380/blaob.12yov2.jpg?v=202407241,5,10,59.75,,4,3,0,3,Apricot|Apple|Mint|Toffee|Black Pepper|Vanilla,Distillery Bottling,Scotland,Highland,,Yes
2026-01-15 09:15:55,Single Malt,73481,Glenmorangie A Tale of Tokyo,Glenmorangie,70cl / 46%,61.62,(£105.64 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/73481/glenmorangie-a-tale-of-tokyo,https://img.thewhiskyexchange.com/380/gmgob.non64.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,85676,Glenfiddich 16 Year Old / Aston Martin F1,Glenfiddich,70cl / 43%,61.62,(£105.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/85676/glenfiddich-16-year-old-aston-martin-f1,https://img.thewhiskyexchange.com/380/gfdob.16yo.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:15:55,Single Malt,2038,Glenfarclas 15 Year Old,Glenfarclas,70cl / 46%,66.62,(£114.21 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2038/glenfarclas-15-year-old,https://img.thewhiskyexchange.com/380/gfcob.15yo.jpg?v=202407241,4.5,62,79.95,,4,4,2,3,Sherry|Smoke|Malt|Grape|Cinnamon|Butter,Distillery Bottling,Scotland,Speyside,,No
2026-01-15 09:16:00,Single Malt,86390,Kilkerran Heavily Peated Batch 13,Kilkerran,70cl / 58.6%,41.62,(£71.36 per litre),Campbeltown,,In Stock,https://www.thewhiskyexchange.com/p/86390/kilkerran-heavily-peated-batch-13,https://img.thewhiskyexchange.com/380/klkob.non24.jpg?v=202407241,,,49.95,,3,3,4,2,Honeysuckle|Bacon|Melon|Butterscotch|Banana,Distillery Bottling,Scotland,Campbeltown,,No
2026-01-15 09:16:00,Single Malt,86410,Macallan A Night on Earth The First Light / 2025 Release,Macallan,70cl / 43%,83.29,(£142.79 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/86410/macallan-a-night-on-earth-the-first-light-2025-release,https://img.thewhiskyexchange.com/380/macob.non195.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,47811,Oban Bay Reserve / Game of Thrones Night's Watch,Oban,70cl / 43%,57.46,(£98.50 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/47811/oban-bay-reserve-game-of-thrones-nights-watch,https://img.thewhiskyexchange.com/380/obnob.non3.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,70740,Dalmunach 6 Year Old / Wulver / Exclusive to The Whisky Exchange,Dalmunach,70cl / 60%,49.96,(£85.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/70740/dalmunach-6-year-old-wulver-exclusive-to-the-whisky-exchange,https://img.thewhiskyexchange.com/380/dmnob.06yo.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,72248,Bruichladdich Classic Laddie,Bruichladdich,70cl / 50%,43.96,(£75.36 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/72248/bruichladdich-classic-laddie,https://img.thewhiskyexchange.com/380/bruob.non35.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,66,Ardbeg 10 Year Old,Ardbeg,70cl / 46%,37.71,(£64.64 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/66/ardbeg-10-year-old,https://img.thewhiskyexchange.com/380/abgob.10yov1.jpg?v=202407241,4.5,261,45.25,,3,3,4,1,Smoke|Coffee|Meat|Liquorice root|Tobacco|Earth,Distillery Bottling,Scotland,Islay,,No
2026-01-15 09:16:00,Single Malt,40351,Glen Scotia 18 Year Old,Glen Scotia,70cl / 46%,106.67,(£182.86 per litre),Campbeltown,,In Stock,https://www.thewhiskyexchange.com/p/40351/glen-scotia-18-year-old,https://img.thewhiskyexchange.com/380/gstob.18yov1.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,1483,Cragganmore 12 Year Old,Cragganmore,70cl / 40%,38.75,(£66.43 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/1483/cragganmore-12-year-old,https://img.thewhiskyexchange.com/380/cgmob.12yo.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,72702,Macallan Classic Cut 2023 Release,Macallan,70cl / 50.3%,79.12,(£135.64 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/72702/macallan-classic-cut-2023-release,https://img.thewhiskyexchange.com/380/macob.non183.jpg?v=202407241,,,,,,,,,,,,,,
2026-01-15 09:16:00,Single Malt,48885,Tobermory 12 Year Old,Tobermory,70cl / 46.3%,34.96,(£55.64 per litre),Island,Special Offer: £3 Off!,In Stock,https://www.thewhiskyexchange.com/p/48885/tobermory-12-year-old,https://img.thewhiskyexchange.com/380/tobob.12yo.jpg?v=202407241,4.5,18,38.95,41.95,2,1,0,3,Vanilla|Orange|Apple|Salt (powder)|Honey|Toffee,Distillery Bottling,Scotland,Island,,No
2026-01-15 09:16:00,Single Malt,40227,Kilchoman Machir Bay,Kilchoman,70cl / 46%,39.12,(£58.50 per litre),Islay,Special Offer: £6 Off!,In Stock,https://www.thewhiskyexchange.com/p/40227/kilchoman-machir-bay,https://img.thewhiskyexchange.com/380/kilob.non26.jpg?v=202407241,5,21,40.95,46.95,3,2,3,2,Vanilla|Black Pepper|Lemon|Apple|Smoke|Toffee,Distillery Bottling,Scotland,Islay,,
2026-01-15 09:16:00,Single Malt,1814,Dalwhinnie 15 Year Old,Dalwhinnie,70cl / 43%,46.25,(£79.29 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/1814/dalwhinnie-15-year-old,https://img.thewhiskyexchange.com/380/dalob.15yov1.jpg?v=202407241,4.5,146,55.50,,2,3,0,3,Honey|Toffee|Cinnamon|Heather|Pear|Almond,Distillery Bottling,Scotland,Speyside,,Yes
2026-01-15 09:16:00,Single Malt,51202,Arran Sherry Cask,Arran,70cl / 55.8%,53.12,(£91.07 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/51202/arran-sherry-cask,https://img.thewhiskyexchange.com/380/arrob.non71.jpg?v=202407241,4,16,63.75,,4,3,0,2,Raisins|Dates|Nutmeg|Cinnamon|Cherry|Ginger,Distillery Bottling,Scotland,Island,Sherry Hogshead,No
2026-01-15 09:16:00,Single Malt,7635,Glenfiddich 21 Year Old / Gran Reserva Rum Cask Finish,Glenfiddich,70cl / 40%,154.17,(£207.14 per litre),Speyside,Special Offer: £40 Off!,In Stock,https://www.thewhiskyexchange.com/p/7635/glenfiddich-21-year-old-gran-reserva-rum-cask-finish,https://img.thewhiskyexchange.com/380/gfdob.21yo.jpg?v=202407241,,,,,,,,,,,,,,
