scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,status,product_url,image_url
2025-12-29 22:14:03,Single Malt,51252,Arran 18 Year Old,Arran,70cl / 46%,96.67,(£165.71 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/51252/arran-18-year-old,https://img.thewhiskyexchange.com/380/arrob.18yov2.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,68167,Mortlach / Special Releases 2022,Mortlach,70cl / 57.8%,208.33,(£357.14 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/68167/mortlach-special-releases-2022,https://img.thewhiskyexchange.com/380/mtlob.non3.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,86410,Macallan A Night on Earth The First Light / 2025 Release,Macallan,70cl / 43%,83.29,(£142.79 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/86410/macallan-a-night-on-earth-the-first-light-2025-release,https://img.thewhiskyexchange.com/380/macob.non195.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,7957,Auchentoshan Three Wood,Auchentoshan,70cl / 43%,41.04,(£70.36 per litre),Lowland,,In Stock,https://www.thewhiskyexchange.com/p/7957/auchentoshan-three-wood,https://img.thewhiskyexchange.com/380/aucob.non2.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,48763,Balblair 18 Year Old,Balblair,70cl / 46%,118.33,(£145.71 per litre),Highland,Special Offer: £40 Off!,In Stock,https://www.thewhiskyexchange.com/p/48763/balblair-18-year-old,https://img.thewhiskyexchange.com/380/blbob.18yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,178,AnCnoc 12 Year Old,AnCnoc,70cl / 40%,31.88,(£54.64 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/178/ancnoc-12-year-old,https://img.thewhiskyexchange.com/380/ancob.12yo.jpg?v=202407241
2025-12-29 22:14:03,Single Malt,2089,Glenfiddich 12 Year Old,Glenfiddich,70cl / 40%,33.29,(£57.07 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2089/glenfiddich-12-year-old,https://img.thewhiskyexchange.com/380/gfdob.12yo.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,7317,Dalmore King Alexander III,Dalmore,70cl / 40%,241.67,(£307.14 per litre),Highland,Special Offer: £75 Off!,In Stock,https://www.thewhiskyexchange.com/p/7317/dalmore-king-alexander-iii,https://img.thewhiskyexchange.com/380/dlmob.non3.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,69951,Benriach The Sixteen / 16 Year Old,Benriach,70cl / 43%,58.96,(£101.07 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/69951/benriach-the-sixteen-16-year-old,https://img.thewhiskyexchange.com/380/bnrob.16yov5.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,1483,Cragganmore 12 Year Old,Cragganmore,70cl / 40%,38.75,(£55 per litre),Speyside,Special Offer: £8 Off!,In Stock,https://www.thewhiskyexchange.com/p/1483/cragganmore-12-year-old,https://img.thewhiskyexchange.com/380/cgmob.12yo.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,86390,Kilkerran Heavily Peated Batch 13,Kilkerran,70cl / 58.6%,41.62,(£71.36 per litre),Campbeltown,,In Stock,https://www.thewhiskyexchange.com/p/86390/kilkerran-heavily-peated-batch-13,https://img.thewhiskyexchange.com/380/klkob.non24.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,56099,Benriach The Original Ten / 10 Year Old,Benriach,70cl / 43%,33.54,(£57.50 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/56099/benriach-the-original-ten-10-year-old,https://img.thewhiskyexchange.com/380/bnrob.10yov8.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,5861,Bowmore 15 Year Old,Bowmore,70cl / 43%,62.08,(£106.43 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/5861/bowmore-15-year-old,https://img.thewhiskyexchange.com/380/bowob.15yov3.jpg?v=202407241
2025-12-29 22:14:08,Single Malt,53988,Glenmorangie A Tale of Spices,Glenmorangie,70cl / 46%,60.62,(£103.93 per litre),Highland,Special Offer: Free Glenmorangie Beanie Hat,In Stock,https://www.thewhiskyexchange.com/p/53988/glenmorangie-a-tale-of-spices,https://img.thewhiskyexchange.com/380/gmgob.non52.jpg?v=202407241
